time_s,radius_cm,numerical,series,absolute_error
6.000000000000000000e+01,1.500000000000000000e+00,2.844819568557626965e+01,2.844819568822269673e+01,2.646427077479529544e-09
6.000000000000000000e+01,1.600000000000000089e+00,2.865815142560494877e+01,2.865815142995649722e+01,4.351548454906151164e-09
6.000000000000000000e+01,1.700000000000000178e+00,2.893459656914975042e+01,2.893459657511938232e+01,5.969631899915839313e-09
6.000000000000000000e+01,1.800000000000000044e+00,2.928493731139176148e+01,2.928493731847083481e+01,7.079073327531659743e-09
6.000000000000000000e+01,1.900000000000000133e+00,2.971275318783384378e+01,2.971275319509497592e+01,7.261132140001791413e-09
6.000000000000000000e+01,2.000000000000000000e+00,3.021682378391475865e+01,3.021682379018118070e+01,6.266422047929154360e-09
1.000000000000000000e+02,0.000000000000000000e+00,2.800513812194330043e+01,2.800513812114741796e+01,7.958824710385670187e-10
1.000000000000000000e+02,1.000000000000000056e-01,2.800566102107017841e+01,2.800566102024927062e+01,8.209077861920377472e-10
1.000000000000000000e+02,2.000000000000000111e-01,2.800734289040242686e+01,2.800734288951109363e+01,8.913332294469000772e-10
1.000000000000000000e+02,3.000000000000000444e-01,2.801053744249588817e+01,2.801053744150205205e+01,9.938361245076521300e-10
1.000000000000000000e+02,4.000000000000000222e-01,2.801588083758205983e+01,2.801588083647398264e+01,1.108077185563161038e-09
1.000000000000000000e+02,5.000000000000000000e-01,2.802435894579897990e+01,2.802435894458951893e+01,1.209460975815090933e-09
1.000000000000000000e+02,6.000000000000000888e-01,2.803739510322375850e+01,2.803739510195155304e+01,1.272205452096386580e-09
1.000000000000000000e+02,7.000000000000000666e-01,2.805694988267616452e+01,2.805694988140410118e+01,1.272063343549234560e-09
1.000000000000000000e+02,8.000000000000000444e-01,2.808561979379240015e+01,2.808561979260496599e+01,1.187434151006527827e-09
1.000000000000000000e+02,9.000000000000000222e-01,2.812671685786384401e+01,2.812671685686507317e+01,9.987708438075060258e-10
1.000000000000000000e+02,1.000000000000000000e+00,2.818430680940152300e+01,2.818430680871434646e+01,6.871765378946292913e-10
1.000000000000000000e+02,1.100000000000000089e+00,2.826318177034703893e+01,2.826318177011254207e+01,2.344968663692270638e-10
1.000000000000000000e+02,1.200000000000000178e+00,2.836874519957131113e+01,2.836874519994338328e+01,3.720721508670976618e-10
1.000000000000000000e+02,1.300000000000000044e+00,2.850679392024737524e+01,2.850679392137715595e+01,1.129780713426953298e-09
1.000000000000000000e+02,1.400000000000000133e+00,2.868319434705501081e+01,2.868319434906118204e+01,2.006171229140818468e-09
