time_s,location,rho,cp,k,D
234780.0,surface,656.6688734457072,1585.4881590719679,0.22881779987110665,2.850751055715506e-12
234840.0,surface,656.6687494190577,1585.485764063683,0.2288174672310671,2.850293161631008e-12
234900.0,surface,656.6686254875839,1585.483370888876,0.22881713484567717,2.8498356753804544e-12
234960.0,surface,656.6685016511843,1585.480979545597,0.22881680271466623,2.8493785964548627e-12
235020.0,surface,656.6683779097577,1585.4785900319002,0.22881647083776394,2.8489219243460703e-12
235080.0,surface,656.6682542632028,1585.4762023458425,0.22881613921470034,2.848465658546749e-12
235140.0,surface,656.6681307114187,1585.4738164854823,0.2288158078452059,2.8480097985503058e-12
235200.0,surface,656.6680072543045,1585.4714324488816,0.2288154767290113,2.8475543438510515e-12
235260.0,surface,656.6678838917593,1585.4690502341045,0.22881514586584784,2.8470992939440527e-12
235320.0,surface,656.6677606236825,1585.466669839218,0.22881481525544695,2.846644648325192e-12
235380.0,surface,656.6676374499737,1585.4642912622917,0.22881448489754053,2.8461904064911608e-12
235440.0,surface,656.6675143705324,1585.4619145013976,0.2288141547918608,2.845736567939444e-12
235500.0,surface,656.6673913852586,1585.4595395546105,0.22881382493814034,2.845283132168341e-12
235560.0,surface,656.6672684940521,1585.4571664200078,0.22881349533611217,2.844830098676946e-12
235620.0,surface,656.667145696813,1585.4547950956692,0.2288131659855096,2.8443774669651345e-12
235680.0,surface,656.6670229934415,1585.4524255796773,0.2288128368860663,2.8439252365336144e-12
235740.0,surface,656.6669003838377,1585.4500578701175,0.22881250803751632,2.8434734068838525e-12
235800.0,surface,656.6667778679025,1585.4476919650772,0.22881217943959406,2.8430219775181285e-12
235860.0,surface,656.6666554455361,1585.4453278626468,0.22881185109203428,2.8425709479395184e-12
235920.0,surface,656.6665331166394,1585.4429655609192,0.22881152299457208,2.8421203176518672e-12
235980.0,surface,656.6664108811133,1585.4406050579896,0.22881119514694298,2.8416700861598474e-12
236040.0,surface,656.6662887388586,1585.438246351956,0.22881086754888277,2.8412202529688668e-12
236100.0,surface,656.6661666897767,1585.4358894409193,0.22881054020012767,2.840770817585159e-12
236160.0,surface,656.6660447337687,1585.4335343229823,0.22881021310041422,2.8403217795157324e-12
236220.0,surface,656.665922870736,1585.4311809962508,0.22880988624947926,2.839873138268368e-12
236280.0,surface,656.6658011005802,1585.4288294588328,0.2288095596470601,2.8394248933516498e-12
236340.0,surface,656.6656794232031,1585.4264797088395,0.22880923329289435,2.8389770442749137e-12
236400.0,surface,656.6655578385062,1585.4241317443837,0.22880890718671995,2.8385295905482876e-12
236460.0,surface,656.6654363463915,1585.4217855635814,0.2288085813282752,2.838082531682686e-12
236520.0,surface,656.6653149467612,1585.4194411645512,0.22880825571729876,2.8376358671897967e-12
236580.0,surface,656.6651936395175,1585.4170985454136,0.22880793035352967,2.8371895965820527e-12
236640.0,surface,656.6650724245626,1585.4147577042925,0.2288076052367073,2.836743719372695e-12
236700.0,surface,656.664951301799,1585.4124186393135,0.22880728036657133,2.8362982350757224e-12
236760.0,surface,656.6648302711293,1585.4100813486052,0.22880695574286183,2.8358531432059073e-12
236820.0,surface,656.6647093324563,1585.4077458302986,0.22880663136531926,2.8354084432787684e-12
236880.0,surface,656.6645884856827,1585.4054120825272,0.2288063072336843,2.834964134810637e-12
236940.0,surface,656.6644677307115,1585.4030801034269,0.22880598334769814,2.834520217318559e-12
237000.0,surface,656.6643470674461,1585.400749891136,0.2288056597071022,2.8340766903203604e-12
237060.0,surface,656.6642264957893,1585.3984214437958,0.2288053363116383,2.83363355333465e-12
237120.0,surface,656.6641060156448,1585.39609475955,0.22880501316104856,2.8331908058807768e-12
237180.0,surface,656.6639856269161,1585.393769836544,0.22880469025507552,2.8327484474788592e-12
237240.0,surface,656.6638653295066,1585.3914466729263,0.22880436759346198,2.8323064776497528e-12
237300.0,surface,656.6637451233203,1585.3891252668484,0.22880404517595115,2.831864895915094e-12
237360.0,surface,656.6636250082609,1585.386805616463,0.22880372300228655,2.8314237017972645e-12
237420.0,surface,656.6635049842325,1585.3844877199267,0.22880340107221203,2.8309828948194015e-12
237480.0,surface,656.6633850511394,1585.3821715753975,0.22880307938547187,2.8305424745053985e-12
237540.0,surface,656.6632652088856,1585.3798571810362,0.22880275794181054,2.8301024403798834e-12
237600.0,surface,656.6631454573757,1585.3775445350059,0.22880243674097303,2.8296627919682377e-12
237660.0,surface,656.6630257965141,1585.3752336354726,0.2288021157827045,2.8292235287965954e-12
237720.0,surface,656.6629062262057,1585.3729244806043,0.2288017950667506,2.8287846503918524e-12
237780.0,surface,656.6627867463551,1585.3706170685718,0.2288014745928572,2.828346156281636e-12
237840.0,surface,656.6626673568672,1585.3683113975483,0.2288011543607706,2.827908045994284e-12
237900.0,surface,656.6625480576472,1585.3660074657091,0.22880083437023735,2.8274703190589433e-12
237960.0,surface,656.6624288486003,1585.363705271232,0.22880051462100442,2.827032975005439e-12
238020.0,surface,656.6623097296315,1585.3614048122977,0.22880019511281913,2.826596013364365e-12
238080.0,surface,656.6621907006464,1585.359106087089,0.22879987584542902,2.8261594336670723e-12
238140.0,surface,656.6620717615507,1585.3568090937908,0.22879955681858205,2.8257232354455956e-12
238200.0,surface,656.6619529122498,1585.354513830591,0.22879923803202654,2.825287418232748e-12
