time_s,radius_cm,temperature_C,moisture
1.000000000000000000e+02,1.816406250000000139e-02,2.800005352487557886e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.826171874999999931e-02,2.800005352726089924e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.835937500000000069e-02,2.800005352965905558e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.845703124999999861e-02,2.800005353207004433e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.855468750000000000e-02,2.800005353449386547e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.865234375000000139e-02,2.800005353693052612e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.874999999999999931e-02,2.800005353938002273e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.884765625000000069e-02,2.800005354184235173e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.894531250000000208e-02,2.800005354431752025e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.904296875000000000e-02,2.800005354680552472e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.914062500000000139e-02,2.800005354930637225e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.923828124999999931e-02,2.800005355182004863e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.933593750000000069e-02,2.800005355434656451e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.943359375000000208e-02,2.800005355688593411e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.953125000000000000e-02,2.800005355943813612e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.962890625000000139e-02,2.800005356200317763e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.972656250000000278e-02,2.800005356458106576e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.982421875000000069e-02,2.800005356717180049e+01,2.549999999999999822e+00
1.000000000000000000e+02,1.992187500000000208e-02,2.800005356977537474e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.001953125000000000e-02,2.800005357239179560e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.011718750000000139e-02,2.800005357502106662e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.021484375000000278e-02,2.800005357766317360e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.031250000000000069e-02,2.800005358031813785e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.041015624999999861e-02,2.800005358298593805e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.050781250000000000e-02,2.800005358566659197e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.060546874999999792e-02,2.800005358836009961e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.070312499999999931e-02,2.800005359106645386e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.080078125000000069e-02,2.800005359378565828e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.089843749999999861e-02,2.800005359651771286e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.099609375000000000e-02,2.800005359926262827e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.109375000000000139e-02,2.800005360202039029e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.119140624999999931e-02,2.800005360479100958e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.128906250000000069e-02,2.800005360757448969e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.138671874999999861e-02,2.800005361037080576e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.148437500000000000e-02,2.800005361317998620e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.158203125000000139e-02,2.800005361600203813e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.167968749999999931e-02,2.800005361883693666e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.177734375000000069e-02,2.800005362168469247e+01,2.549999999999999822e+00
1.000000000000000000e+02,2.187500000000000208e-02,2.800005362454531621e+01,2.549999999999999822e+00
