time_s,center_temperature_C,surface_temperature_C,mean_temperature_C,center_moisture,surface_moisture,mean_moisture
4.900000000000000000e+02,2.824351656760215334e+01,2.964449312458325281e+01,2.887478372082665601e+01,2.549999999999999822e+00,1.932234374581890846e+00,2.467645431748383800e+00
4.910000000000000000e+02,2.824512578539784613e+01,2.964884729465451940e+01,2.887781011217224147e+01,2.549999999999999822e+00,1.931696779136528264e+00,2.467492741787016275e+00
4.920000000000000000e+02,2.824674076730443062e+01,2.965322190106681433e+01,2.888084328766597153e+01,2.549999999999999822e+00,1.931159899843915451e+00,2.467340095497958075e+00
4.930000000000000000e+02,2.824836150894304510e+01,2.965761593277066055e+01,2.888388322395046259e+01,2.549999999999999822e+00,1.930623734395799929e+00,2.467187492824006068e+00
4.940000000000000000e+02,2.824998800578345737e+01,2.966202850279039538e+01,2.888692989877822015e+01,2.549999999999999822e+00,1.930088280503949205e+00,2.467034933708146305e+00
4.950000000000000000e+02,2.825162025314060088e+01,2.966645882552101554e+01,2.888998329088065020e+01,2.549999999999999822e+00,1.929553535898516969e+00,2.466882418093544693e+00
4.960000000000000000e+02,2.825325824617130976e+01,2.967090619930212725e+01,2.889304337985981874e+01,2.549999999999999822e+00,1.929019498326757454e+00,2.466729945923547884e+00
4.970000000000000000e+02,2.825490197987125995e+01,2.967536999281770349e+01,2.889611014609784689e+01,2.549999999999999822e+00,1.928486165552017795e+00,2.466577517141685050e+00
4.980000000000000000e+02,2.825655144907191030e+01,2.967984963455716851e+01,2.889918357068126298e+01,2.549999999999999822e+00,1.927953535352928016e+00,2.466425131691657668e+00
4.990000000000000000e+02,2.825820664843789132e+01,2.968434460423811316e+01,2.890226363533605181e+01,2.549999999999999822e+00,1.927421605522736892e+00,2.466272789517351072e+00
5.000000000000000000e+02,2.825986757246424119e+01,2.968885442585400369e+01,2.890535032237178115e+01,2.549999999999998934e+00,1.926890373868751949e+00,2.466120490562822898e+00
5.010000000000000000e+02,2.826153421547414624e+01,2.969337866192707764e+01,2.890844361463281231e+01,2.550000000000000711e+00,1.926359838211865849e+00,2.465968234772305312e+00
5.020000000000000000e+02,2.826320657161663163e+01,2.969791690884960644e+01,2.891154349545637459e+01,2.549999999999999378e+00,1.925829996386159593e+00,2.465816022090206783e+00
5.030000000000000000e+02,2.826488463486464298e+01,2.970246879288292519e+01,2.891464994863513027e+01,2.549999999999999378e+00,1.925300846238550356e+00,2.465663852461105421e+00
5.040000000000000000e+02,2.826656839901313845e+01,2.970703396681293640e+01,2.891776295838417710e+01,2.550000000000000266e+00,1.924772385628483073e+00,2.465511725829754752e+00
5.050000000000000000e+02,2.826825785767756472e+01,2.971161210707527545e+01,2.892088250931160687e+01,2.550000000000000266e+00,1.924244612427659540e+00,2.465359642141073948e+00
5.060000000000000000e+02,2.826995300429238256e+01,2.971620291130527747e+01,2.892400858639212657e+01,2.550000000000000266e+00,1.923717524519792610e+00,2.465207601340158039e+00
5.070000000000000000e+02,2.827165383210992999e+01,2.972080609625371395e+01,2.892714117494368509e+01,2.549999999999999822e+00,1.923191119800389703e+00,2.465055603372265924e+00
5.080000000000000000e+02,2.827336033419936356e+01,2.972542139594614241e+01,2.893028026060612845e+01,2.549999999999999822e+00,1.922665396176550967e+00,2.464903648182827478e+00
5.090000000000000000e+02,2.827507250344595491e+01,2.973004856007798935e+01,2.893342582932192641e+01,2.549999999999999378e+00,1.922140351566788086e+00,2.464751735717437331e+00
5.100000000000000000e+02,2.827679033255043706e+01,2.973468735259764273e+01,2.893657786731845505e+01,2.549999999999999378e+00,1.921615983900850866e+00,2.464599865921857980e+00
5.110000000000000000e+02,2.827851381402869890e+01,2.973933755047506367e+01,2.893973636109210190e+01,2.550000000000000266e+00,1.921092291119573803e+00,2.464448038742016234e+00
5.120000000000000000e+02,2.828024294021163598e+01,2.974399894261942023e+01,2.894290129739367146e+01,2.549999999999999822e+00,1.920569271174729309e+00,2.464296254124004104e+00
5.130000000000000000e+02,2.828197770324525706e+01,2.974867132890754817e+01,2.894607266321507666e+01,2.549999999999999822e+00,1.920046922028890046e+00,2.464144512014073474e+00
5.140000000000000000e+02,2.828371809509100032e+01,2.975335451931071162e+01,2.894925044577688311e+01,2.549999999999999822e+00,1.919525241655299919e+00,2.463992812358644979e+00
5.150000000000000000e+02,2.828546410752642615e+01,2.975804833312247766e+01,2.895243463251698302e+01,2.549999999999999822e+00,1.919004228037749282e+00,2.463841155104296021e+00
5.160000000000000000e+02,2.828721573214593477e+01,2.976275259824808117e+01,2.895562521107998322e+01,2.549999999999999378e+00,1.918483879170461925e+00,2.463689540197765648e+00
5.170000000000000000e+02,2.828897296036194575e+01,2.976746715058636283e+01,2.895882216930750985e+01,2.550000000000000266e+00,1.917964193057980049e+00,2.463537967585955002e+00
5.180000000000000000e+02,2.829073578340645412e+01,2.977219183346704057e+01,2.896202549522921288e+01,2.549999999999999822e+00,1.917445167715060572e+00,2.463386437215921987e+00
5.190000000000000000e+02,2.829250419233266101e+01,2.977692649713789663e+01,2.896523517705440298e+01,2.549999999999999822e+00,1.916926801166572769e+00,2.463234949034885712e+00
5.200000000000000000e+02,2.829427817801721190e+01,2.978167099829684261e+01,2.896845120316415390e+01,2.549999999999999822e+00,1.916409091447399904e+00,2.463083502990220275e+00
5.210000000000000000e+02,2.829605773116257694e+01,2.978642519966582114e+01,2.897167356210405131e+01,2.549999999999999822e+00,1.915892036602344861e+00,2.462932099029458310e+00
5.220000000000000000e+02,2.829784284229999258e+01,2.979118896960681795e+01,2.897490224257731484e+01,2.549999999999999378e+00,1.915375634686037332e+00,2.462780737100285222e+00
5.230000000000000000e+02,2.829963350179253112e+01,2.979596218175374744e+01,2.897813723343827874e+01,2.549999999999999822e+00,1.914859883762844994e+00,2.462629417150548505e+00
5.240000000000000000e+02,2.830142969983887014e+01,2.980074471470348030e+01,2.898137852368657619e+01,2.550000000000001155e+00,1.914344781906790471e+00,2.462478139128243093e+00
5.250000000000000000e+02,2.830323142647741008e+01,2.980553645171483979e+01,2.898462610246145488e+01,2.549999999999998934e+00,1.913830327201463621e+00,2.462326902981518906e+00
5.260000000000000000e+02,2.830503867159067966e+01,2.981033728043378517e+01,2.898787995903643022e+01,2.549999999999999378e+00,1.913316517739942269e+00,2.462175708658684403e+00
5.270000000000000000e+02,2.830685142491036288e+01,2.981514709264032348e+01,2.899114008281436128e+01,2.550000000000000266e+00,1.912803351624713599e+00,2.462024556108191931e+00
5.280000000000000000e+02,2.830866967602254647e+01,2.981996578401108877e+01,2.899440646332267235e+01,2.549999999999999378e+00,1.912290826967594670e+00,2.461873445278651928e+00
